Device_Manufacturer,Device_ManufacturerBrandName,Device_Model,Device_ModelBrandName,Device_OS,Device_OSBrandName,Device_Language,Device_Locale,Device_ScreenWidth,Device_ScreenHeight,Device_Storage,Device_UsedStorage,Device_FreeStorage,Device_Memory,Device_UsedMemory,Device_FreeMemory,Device_CPU,Device_BatteryLevel,Device_BatteryState,Device_SystemUptime,Device_Speed,Device_Bearing,Device_SIMMCC,Device_SIMMNC,Device_SIMServiceProvider,Device_SIMServiceProviderBrandName,Connection_Start,Connection_End,Connection_Timezone,Connection_Type,Connection_Technology,Connection_GenerationCategory,Connection_MCC,Connection_MNC,Connection_LAC,Connection_CID,Connection_ServiceProvider,Connection_ServiceProviderBrandName,Connection_MobileChannel,Connection_BSIC,Connection_PCI,Connection_BSSID,Connection_SSID,Connection_WifiFrequency,Location_Latitude,Location_Longitude,Location_Altitude,Location_HorizontalAccuracy,Location_VerticalAccuracy,Location_Country,Location_Region,Location_City,Location_Geohash,QOS_Date,QOS_UploadThroughput,QOS_UploadThroughputTestSize,QOS_DownloadThroughput,QOS_DownloadThroughputTestSize,QOS_LatencyAverage,QOS_JitterAverage,QOS_PacketLossLostPercentage,QOS_LinkSpeed,QOS_SignalStrength,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,QOS_RSRP,QOS_RSRQ,QOS_RSSNR,QOS_CQI,QOS_TA
samsung,Samsung,SM-G361H,Galaxy Core Prime,ANDROID51,Android 5.1,ru,RU,800,480,13694947328,2381869056,11313078272,1004412928,713023488,291389440,0.56,0.949999988079071,Unplugged,1269971934,null,null,255,3,KYIVSTAR,Kyivstar,2017-09-03 02:14:07 UTC,2017-09-03 02:14:09 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,255,3,27001,31911,null,Kyivstar,null,null,null,null,null,null,50.3662806,30.3676768,null,20.0,null,Ukraine,Kiev,null,u8vwe0chf5,2017-09-03 02:14:09 UTC,null,null,null,null,null,null,null,null,null,867,1303,null,null,null,null,null
samsung,Samsung,SM-G610F,Galaxy J7 Prime,ANDROID60,Android 6.0,tr,null,1920,1080,3063226368,3010195456,53030912,2965741568,2350235648,615505920,0.25,0.6899999976158142,Unplugged,141623077,null,null,null,null,null,null,2017-06-27 14:34:45 UTC,2017-06-27 14:37:30 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,36.5375704,32.0402393,null,2000.0,null,Turkey,Antalya,Alanya,swqzc56yz8,2017-06-27 14:37:30 UTC,null,null,null,null,null,null,null,null,-59,493,116,-108,-8,14,2,8
samsung,Samsung,SM-G800F,Galaxy S5 Mini,ANDROID60,Android 6.0,nl,,1280,720,44539248640,35273392128,9265856512,1319264256,989745152,329519104,0.69,0.7900000214576721,Unplugged,435395590,null,null,204,8,KPN,KPN,2017-08-20 11:32:08 UTC,2017-08-20 11:55:38 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,54:be:53:7a:85:d9,H369A7A85D8,5260,51.8716617,5.4034828,null,19.0,null,Netherlands,Gelderland,Tiel,u15z4fywq6,2017-08-20 11:55:38 UTC,null,null,null,null,null,null,null,null,null,92243,225156,null,null,null,null,null
samsung,Samsung,SM-G920F,Galaxy S6,ANDROID70,Android 7.0,fr,FR,2560,1440,27341864960,12328505344,15013359616,2812588032,2068078592,744509440,0.24,1.0,Full,1068836759,null,null,208,10,,SFR,2017-08-02 21:24:50 UTC,2017-08-03 01:50:04 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,e4:9e:12:ef:95:88,Freebox-43DC41,2412,48.0649856,-0.759115,null,2200.0,null,France,Pays de la Loire,Laval,gbx3qtznz6,2017-08-02 23:30:26 UTC,null,null,null,null,null,null,null,130,-43,35628,81331,null,null,null,null,null
samsung,Samsung,SM-G935F,Galaxy S7 Edge,ANDROID70,Android 7.0,tr,null,1920,1080,4403081216,4227387392,175693824,3705475072,2070216704,1635258368,0.38,0.7599999904632568,Unplugged,118968644,null,null,null,null,null,null,2017-04-22 10:51:29 UTC,2017-04-22 11:32:38 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,40.3724134,28.8870772,null,50.0,null,Turkey,Bursa,Mudanya,sxht9mdfme,2017-04-22 11:28:38 UTC,null,null,null,null,null,null,null,null,null,0,0,-98,-8,150,12,null
samsung,Samsung,SM-N910C,Galaxy Note 4,ANDROID60,Android 6.0,tr,null,2560,1440,3682533376,3321225216,361308160,2965000192,2039177216,925822976,0.64,0.8700000047683716,Charging,382087160,null,null,null,null,null,null,2017-04-20 19:26:16 UTC,2017-04-20 19:34:47 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,36.925489,30.6890504,null,21.76300048828125,null,Turkey,Antalya,Kepez,swtf4654dd,2017-04-20 19:34:47 UTC,null,null,null,null,null,null,null,null,null,831,168,null,null,null,null,null
samsung,Samsung,GT-I9060I,Galaxy Grand Neo Plus,ANDROID44,Android 4.4,es,ES,800,480,21829865472,6122311680,15707553792,998244352,697937920,300306432,0.99,0.10999999940395355,Charging,3121043,null,null,214,22,Digi.Mobil,DigiMobil,2017-06-20 18:30:38 UTC,2017-06-20 18:32:53 UTC,7200,UNKNOWN,UNKNOWN,UNKNOWN,214,7,1360,27080072,null,Movistar,null,null,null,null,null,null,39.4097966,-3.1275209,null,33.926998138427734,null,Spain,Castile-La Mancha,Campo de Criptana,ezjb0y6deq,2017-06-20 18:32:53 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,GT-I9301I,Galaxy S3 Neo,ANDROID44,Android 4.4,it,IT,1280,720,12549959680,8251408384,4298551296,1444184064,1061195776,382988288,0.61,0.019999999552965164,Unplugged,6982908,2.136000871658325,135.5,222,88,,Wind,2017-08-17 14:04:39 UTC,2017-08-17 14:04:40 UTC,7200,UNKNOWN,UNKNOWN,UNKNOWN,222,88,40117,37437135,null,Wind,null,null,null,null,null,null,40.44405553,14.9706228,74.0,9.0,null,Italy,Campania,Capaccio,sr4whdt78y,2017-08-17 14:04:40 UTC,null,null,null,null,null,null,null,null,null,183,0,null,null,null,null,null
samsung,Samsung,SM-J330FN,null,ANDROID70,Android 7.0,en,null,1280,720,2762690560,2495725568,266964992,1923694592,1293316096,630378496,0.86,0.8600000143051147,Unplugged,139440846,null,null,null,null,null,null,2017-09-09 10:39:47 UTC,2017-09-09 10:41:22 UTC,3600,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,55.1838613,-1.5736386,null,1700.0,null,United Kingdom,England,null,gcycujyj79,2017-09-09 10:41:22 UTC,null,null,null,null,null,null,null,null,-113,1095,908,null,-20,-30,null,11
samsung,Samsung,SM-J510FN,Galaxy J5,ANDROID60,Android 6.0,es,ES,1280,720,19806433280,7370067968,12436365312,1984086016,1649045504,335040512,0.7,0.9800000190734863,Unplugged,4806839856,null,null,214,1,,Vodafone,2017-07-29 00:30:32 UTC,2017-07-29 01:58:27 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,20:0c:c8:4b:b1:40,CMU_SPABLO,2412,40.4420431,-3.7181346,null,18.0,null,Spain,Madrid,Madrid,ezjq56hxcp,2017-07-29 01:58:27 UTC,null,null,null,null,null,null,null,null,null,63042,114035,null,null,null,null,null
motorola,Motorola,Moto G (4),Moto G4,ANDROID70,Android 7.0,en,GB,1920,1080,75483709440,34966282240,40517427200,1957261312,1308372992,648888320,0.14,0.23000000417232513,Unplugged,65472831,null,null,234,30,,EE,2017-08-09 10:05:50 UTC,2017-08-09 10:05:51 UTC,3600,UNKNOWN,UNKNOWN,UNKNOWN,234,30,1170,13429631,null,EE,10836,null,null,null,null,null,50.6120441,-1.9615109,null,18.0,null,United Kingdom,England,Swanage,gbyxgmest2,2017-08-09 10:05:51 UTC,null,null,null,null,null,null,null,null,null,1114,1038,null,null,null,null,null
LENOVO,Lenovo,Tab2A7-10F,Tab2A7-10F,ANDROID50,Android 5.0,it,IT,1024,600,14340235264,6496092160,7844143104,1031450624,820621312,210829312,0.72,0.4399999976158142,NotCharging,91625923,null,null,null,null,,null,2017-08-06 08:49:22 UTC,2017-08-06 08:49:44 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,,,null,45.5143653,11.9482179,null,20.0,null,Italy,Veneto,null,u206zvskms,2017-08-06 08:49:44 UTC,null,null,null,null,null,null,null,null,null,12978,17576,null,null,null,null,null
motorola,Motorola,Moto G Play,Moto G Play,ANDROID60,Android 6.0,nl,NL,1280,720,27316682752,10568032256,16748650496,2007384064,1125691392,881692672,0.02,0.6499999761581421,Charging,2942098948,null,64.5999984741211,204,8,KPN,KPN,2017-09-02 15:19:30 UTC,2017-09-02 21:51:39 UTC,7200,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,20:89:86:00:c4:c3,H368N00C4C3,2437,51.86386191,6.4966206,50.0,17.0,null,Netherlands,Gelderland,Aalten,u1hx5cd8yh,2017-09-02 21:51:39 UTC,null,null,null,null,null,null,null,null,null,262053,356974,null,null,null,null,null
Orange,Orange,Orange Fova,Fova,ANDROID44,Android 4.4,ro,RO,854,480,8230854656,5196881920,3033972736,950288384,595517440,354770944,0.07,0.4000000059604645,Unplugged,3854185,3.4794251918792725,74.4000015258789,226,10,orange,Orange,2017-05-26 08:10:54 UTC,2017-05-26 08:15:25 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,226,10,20201,15486986,null,Orange,null,null,11,null,null,null,46.92640888,25.35659102,700.0,13.0,null,Romania,null,null,u864cn8n5k,2017-05-26 08:15:25 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
LENOVO,Lenovo,Lenovo K53a48,null,ANDROID60,Android 6.0,tr,null,1920,1080,3611660288,3069370368,542289920,2987892736,1504514048,1483378688,0.54,0.7300000190734863,Unplugged,1876067106,null,null,null,null,null,null,2017-05-20 20:48:00 UTC,2017-05-20 20:53:34 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,d4:40:f0:21:24:e4,VodafoneNet-VNY4YG,null,39.9535793,32.884808,null,50.0,null,Turkey,Ankara,Altındağ,sxp7k33frw,2017-05-20 20:53:34 UTC,null,null,null,null,null,null,null,null,null,36442,80194,-91,-13,-54,null,null
HTC,HTC,HTC Desire 830,Desire 830,ANDROID51,Android 5.1,tr,null,1920,1080,29287837696,21372542976,7915294720,2977484800,2071220224,906264576,0.26,0.25,NotCharging,285442898,null,null,null,null,null,null,2017-07-01 16:44:47 UTC,2017-07-01 16:59:36 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,40.6770227,36.5631885,null,2099.9990234375,null,Turkey,Tokat,Erbaa,sz4p2j08b4,2017-07-01 16:59:35 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
ZTE,ZTE,Turk Telekom TT175,Turk Telekom TT175,ANDROID51,Android 5.1,tr,null,1920,1080,14543486976,8975175680,5568311296,2006163456,1102278656,903884800,null,0.5600000023841858,NotCharging,19730911,null,null,null,null,null,null,2017-05-19 19:23:29 UTC,2017-05-19 19:52:38 UTC,10800,WIFI,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,e8:37:7a:c8:d0:40,ArslanMalikanesi,null,38.1969246,37.2166118,null,20.100000381469727,null,Turkey,Kahramanmaras,Elbistan,syf3qcs31y,2017-05-19 19:52:38 UTC,null,null,null,null,null,null,null,null,null,12322984,58288958,null,null,null,null,null
General Mobile,General Mobile,General Mobile 4G Dual,4G Dual,ANDROID71,Android 7.1,tr,null,1280,720,1585299456,1351065600,234233856,1998135296,1265434624,732700672,0.5,0.7200000286102295,Unplugged,924219516,null,null,null,null,null,null,2017-04-08 12:36:21 UTC,2017-04-08 12:37:06 UTC,10800,UNKNOWN,UNKNOWN,UNKNOWN,null,null,null,null,null,null,null,null,null,null,null,null,40.8435256,38.3683219,null,1899.9990234375,null,Turkey,Giresun,Giresun Merkez,sz72356fy9,2017-04-08 12:37:06 UTC,null,null,null,null,null,null,null,null,null,2011,0,-105,-10,164,null,null
LENOVO,Lenovo,Lenovo S60-a,S60-a,ANDROID50,Android 5.0,cs,CZ,1280,720,24115740672,9013415936,15102324736,1984708608,1460854784,523853824,0.06,0.7400000095367432,Unplugged,504546065,null,null,230,1,T-Mobile CZ,T-Mobile,2017-09-08 10:13:24 UTC,2017-09-08 10:13:53 UTC,7200,MOBILE,UNKNOWN,UNKNOWN,null,null,null,null,,null,null,null,null,null,null,null,49.0001253,14.4721745,null,1344.0,null,Czech Republic,Jihoceský,null,u2dqc24q6j,2017-09-08 10:13:53 UTC,null,null,null,null,null,null,null,null,null,2783,516,null,null,null,null,null
samsung,Samsung,GT-I9301I,Galaxy S3 Neo,ANDROID44,Android 4.4,sr,RS,1280,720,14521020416,5326123008,9194897408,1444188160,1200279552,243908608,0.6,0.46000000834465027,Unplugged,60336804,1.5811388492584229,299.3999938964844,220,3,mt:s,mt:s,2017-04-25 09:38:35 UTC,2017-04-25 09:38:51 UTC,7200,MOBILE,UMTS,3G,220,3,21152,969997,MTS,mt:s,null,null,null,null,null,null,44.99706333,19.57746975,174.0,36.0,null,Serbia,null,null,srvzvrryuh,2017-04-25 09:38:51 UTC,null,null,null,null,null,null,null,null,null,368,197,null,null,null,null,null
HTC,HTC,HTC Desire 630 dual sim,Desire 630 Dual SIM,ANDROID60,Android 6.0,sr,RS,1280,720,27125084160,10781913088,16343171072,1931001856,1203380224,727621632,0.25,0.4099999964237213,NotCharging,196651291,null,null,220,3,mt:s,mt:s,2017-08-30 12:08:53 UTC,2017-08-30 12:09:07 UTC,7200,MOBILE,EDGE,3G,220,3,35014,20271,MTS,mt:s,null,null,null,null,null,null,44.7630604,20.4881528,null,135.0,null,Serbia,Central Serbia,null,srywdhz58x,2017-08-30 12:08:53 UTC,null,null,null,null,null,null,null,null,-77,0,0,null,null,null,null,null
OnePlus,OnePlus,One,null,ANDROID71,Android 7.1,it,IT,1920,1080,58918912000,14365589504,44553322496,3013013504,1955102720,1057910784,0.42,0.5099999904632568,Unplugged,28871082,null,null,222,99,,3,2017-09-14 14:41:17 UTC,2017-09-14 14:41:20 UTC,7200,MOBILE,UMTS,3G,222,99,60275,19457055,3 ITA,3,null,null,null,null,null,null,41.2390618,16.4919412,null,1700.0,null,Italy,Apulia,Bisceglie,sr7dx734fn,2017-09-14 14:41:17 UTC,null,null,null,null,null,null,null,null,-93,5691866,17988983,null,null,null,null,null
samsung,Samsung,GT-N7100,Galaxy Note II,ANDROID44,Android 4.4,it,IT,1280,720,11229454336,9714282496,1515171840,1871785984,1078611968,793174016,0.19,0.75,Unplugged,4037872,1.2945057153701782,193.68809509277344,222,99,,3,2017-06-12 08:08:14 UTC,2017-06-12 08:09:26 UTC,7200,MOBILE,UMTS,3G,222,99,60279,14197054,3 ITA,3,null,null,null,null,null,null,37.985221188715975,12.95475099822386,292.9133124765226,96.0,null,Italy,Sicily,Alcamo,sqc0nfcrgw,2017-06-12 08:09:26 UTC,null,null,null,null,null,null,null,null,null,9042,15434,null,null,null,null,null
HUAWEI,Huawei,HUAWEI P7-L10,P7,ANDROID51,Android 5.1,it,,1920,1080,12661735424,4470439936,8191295488,1989742592,1309786112,679956480,0.81,0.38999998569488525,Unplugged,73124520,null,null,222,99,,3,2017-09-05 13:28:11 UTC,2017-09-05 13:41:07 UTC,7200,MOBILE,UMTS,3G,222,99,60279,14219327,3 ITA,3,null,null,null,null,null,null,37.8902302,12.4890926,null,72.0,null,Italy,Sicily,Marsala,sq8zs1wq8f,2017-09-05 13:28:12 UTC,null,null,null,null,null,null,null,null,-113,410099,728716,null,null,null,null,null
samsung,Samsung,SM-G955F,null,ANDROID70,Android 7.0,fr,FR,2220,1080,57960366080,15995068416,41965297664,3623976960,2853396480,770580480,0.14,0.6899999976158142,Unplugged,96367129,null,null,208,10,,SFR,2017-07-17 10:16:09 UTC,2017-07-17 10:16:58 UTC,7200,MOBILE,HSUPA,3G,208,10,27508,168453787,F SFR,SFR,0,null,null,null,null,null,43.3218374,-0.5752893,null,3099.0,null,France,Aquitaine-Limousin-Poitou-Charentes,null,ezxw6ympfz,2017-07-17 10:16:58 UTC,null,null,null,null,null,null,null,null,null,330,406,null,null,null,null,null
CROSSCALL,null,TREKKER-X3,null,ANDROID60,Android 6.0,fr,FR,1920,1080,26177622016,19008417792,7169204224,3221225472,2642280448,578945024,0.4,1.0,Full,124009095,null,null,208,10,,SFR,2017-08-10 00:31:58 UTC,2017-08-10 00:31:58 UTC,7200,MOBILE,HSPAP,3G,208,10,31341,null,F SFR,SFR,null,null,null,null,null,null,43.1851496,3.1950705,null,2900.0,null,France,Languedoc-Roussillon-Midi-Pyrénées,null,spdm8twedx,2017-08-10 00:31:58 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
samsung,Samsung,SM-G935F,Galaxy S7 Edge,ANDROID70,Android 7.0,sv,SE,1920,1080,58086154240,38293413888,19792740352,3705470976,2841350144,864120832,0.33,0.8899999856948853,Unplugged,563325906,null,null,240,7,Tele2,Tele2,2017-07-23 10:08:52 UTC,2017-07-23 10:08:54 UTC,7200,MOBILE,LTE,4G,240,7,34103,80487938,Tele2,Tele2,0,null,249,null,null,null,59.2423896,18.0099399,null,699.0,null,Sweden,Stockholm,null,u6sc1bdryj,2017-07-23 10:08:52 UTC,null,null,null,null,null,null,null,null,-107,0,0,-107,-8,30,9,24
samsung,Samsung,SM-G900F,Galaxy S5,ANDROID60,Android 6.0,es,null,1920,1080,15305953280,13045198848,2260754432,1788809216,1470386176,318423040,0.74,0.7200000286102295,Unplugged,280622485,null,null,null,null,null,null,2017-06-02 16:46:35 UTC,2017-06-02 16:56:22 UTC,7200,MOBILE,LTE,4G,214,4,28015,72244326,Yoigo,Yoigo,null,null,349,null,null,null,40.0374685,-3.5923037,null,50.0,null,Spain,Madrid,Aranjuez,ezj7y285jm,2017-06-02 16:51:20 UTC,null,null,null,null,null,null,null,null,null,84432,43583,null,null,null,null,null
Sony,Sony,E2303,Xperia M4 Aqua,ANDROID50,Android 5.0,sv,SE,1280,720,20185063424,4313313280,15871750144,1898401792,1295249408,603152384,0.25,0.8600000143051147,Unplugged,250924824,null,null,240,7,Comviq,Tele2,2017-07-23 11:16:13 UTC,2017-07-23 11:16:19 UTC,7200,MOBILE,HSDPA,3G,240,7,165,null,Comviq,Tele2,null,null,null,null,null,null,58.5679932,11.9969472,null,39.0,null,Sweden,Västra Götaland,null,u62t0vzzm1,2017-07-23 11:16:19 UTC,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null
LGE,LGE,LG-K220,X Power,ANDROID60,Android 6.0,it,IT,1280,720,11065716736,10074439680,991277056,2033594368,1447264256,586330112,0.05,0.33000001311302185,Charging,7530393,null,null,222,88,,Wind,2017-06-08 22:12:59 UTC,2017-06-08 22:13:09 UTC,7200,MOBILE,UMTS,3G,222,88,10084,9046584,I WIND,Wind,null,null,null,null,null,null,45.663555,8.7864891,null,20.0,null,Italy,Lombardy,Gallarate,u0n5zby1kp,2017-06-08 22:13:09 UTC,null,null,null,null,null,null,null,null,null,1036,957,null,null,null,null,null
