main_ConnectionType,main_ConnectionTechnology,main_ServiceProvider,main_ConnectionStart,main_ConnectionEnd,main_CID,main_LAC,main_BSSID,main_MCC,main_MNC,main_Timezone,main_PCI,main_MobileChannel,main_WifiFrequency,main_BSIC,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_ScreenResolution_Width,main_Device_ScreenResolution_Height,main_Device_Memory,main_Device_Storage,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_UploadThroughput,main_QOS_DownloadThroughput,main_QOS_Latency_Average,main_QOS_LinkSpeed,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_Location_Altitude,main_QOS_Location_HorizontalAccuracy,main_QOS_Location_VerticalAccuracy,main_QOS_Jitter_Average,main_QOS_PacketLoss_LostPercentage,main_QOS_Velocity_Speed,main_QOS_Velocity_Bearing,main_QOS_DeviceFreeMemory,main_QOS_DeviceCPU,main_QOS_DeviceBatteryLevel,main_QOS_DeviceBatteryState,main_QOS_DeviceFreeStorage,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_QOS_RSRP,main_QOS_RSRQ,main_QOS_RSSNR,main_QOS_CQI,main_QOS_TA,main_QOS_SystemUptime,main_QOS_DeviceUsedStorage,main_QOS_DeviceUsedMemory,main_Country,main_Region,main_City,main_Geohash,conn_Generation_Category,sp_ServiceProviderBrandName
MOBILE,LTE,Verizon Wireless,2017-06-21 21:32:33 UTC,2017-06-21 21:32:43 UTC,749,2,null,null,119,-14400,407,null,null,null,Sony,D6708,ANDROID51,1920,1080,2923757568,26855317504,en,2017-06-21 21:32:43 UTC,null,null,null,null,null,41.5445047,-72.9244584,14.0,3.9000000953674316,null,null,null,12.15999984741211,23.0,714731520,0.92,0.7900000214576721,Unplugged,4128501760,122347,294465,null,null,null,null,null,8908458,22726815744,2209026048,United States,Connecticut,null,drkhkdfn2b,4G,null
MOBILE,EVDOA,Boost Mobile,2017-07-06 12:39:24 UTC,2017-07-06 12:40:54 UTC,23027,100,null,null,4622,-18000,null,null,null,null,kyocera,C6730,ANDROID44,960,540,1427030016,5820022784,en,2017-07-06 12:40:54 UTC,null,null,null,null,null,29.7087829,-95.63918031,-7.0,146.0,null,null,null,null,null,269418496,0.56,0.800000011920929,Unplugged,538279936,1906,1367,null,null,null,null,null,48459444,5281742848,1157611520,United States,Texas,null,9v7cp8mdjw,3G,null
MOBILE,EVDOA,Sprint,2017-05-18 21:13:57 UTC,2017-05-18 21:14:09 UTC,30259,308,null,null,4164,-18000,null,null,null,null,LGE,LG-LS995,ANDROID44,1280,720,1946132480,25896771584,en,2017-05-18 21:14:09 UTC,null,null,null,null,null,36.04348243,-95.88697563,190.0,5.0,null,null,null,null,null,519618560,0.81,0.699999988079071,Unplugged,986398720,3317,3780,null,null,null,null,null,8077345,24910372864,1426513920,United States,Oklahoma,Tulsa,9y7v4190x8,3G,null
MOBILE,LTE,Boost Mobile,2017-07-18 14:52:19 UTC,2017-07-18 14:52:22 UTC,539,1,null,null,22438,-14400,null,null,null,null,LGE,LGLS775,ANDROID70,1280,720,1987317760,10880266240,en,2017-07-18 14:52:22 UTC,null,null,null,null,null,35.0882681,-81.4311604,null,2799.9990234375,null,null,null,null,null,463224832,0.22,0.9599999785423279,Charging,6229110784,0,0,null,null,null,null,null,63416075,4651155456,1524092928,United States,South Carolina,null,dnnpdgxeur,4G,null
UNKNOWN,UNKNOWN,null,2017-05-28 00:16:33 UTC,2017-05-28 00:16:35 UTC,48562,308,null,null,4164,-18000,null,null,null,null,kyocera,C6730,ANDROID44,960,540,1427030016,5820022784,en,2017-05-28 00:16:35 UTC,null,null,null,null,null,35.57961506,-97.53190033,350.0,16.0,null,null,null,0.32557642459869385,239.60000610351562,205422592,0.44,0.8500000238418579,Unplugged,821153792,0,0,null,null,null,null,null,279213716,4998868992,1221607424,United States,Oklahoma,Oklahoma City,9y6dkt56q0,UNKNOWN,null
MOBILE,EHRPD,Boost Mobile,2017-06-27 00:01:08 UTC,2017-06-27 00:01:12 UTC,48722,240,null,null,4186,-25200,null,null,null,null,LGE,LGLS775,ANDROID70,1280,720,1987317760,41973006336,en,2017-06-27 00:01:12 UTC,null,null,null,null,null,47.03663897,-122.89907699,28.0,39.44199752807617,null,null,null,1.7899999618530273,210.6999969482422,323301376,0.2,0.4000000059604645,Unplugged,22559064064,0,0,null,null,null,null,null,337237061,19413942272,1664016384,United States,Washington,Olympia,c22ee6g87c,3G,null
MOBILE,UMTS,CLARO,2017-05-13 10:05:38 UTC,2017-05-13 10:06:28 UTC,890171,51013,null,330,110,-14400,null,null,null,null,samsung,SM-N910W8,ANDROID44,2560,1440,2918486016,26007085056,es,2017-05-13 10:05:38 UTC,null,null,null,null,-73,18.16531377,-66.19967371,530.0,111.0,null,null,null,null,null,368562176,0.67,0.8100000023841858,Charging,8396750848,0,0,null,null,null,null,null,62310606,17610334208,2549923840,United States,Puerto Rico,Cidra,de0zmdfueg,3G,null
MOBILE,LTE,Cellcom,2017-07-24 23:35:21 UTC,2017-07-24 23:35:26 UTC,9841,2,null,null,362,-18000,295,null,null,null,motorola,XT1564,ANDROID60,1920,1080,2007089152,15646195712,en,2017-07-24 23:35:26 UTC,null,null,null,null,null,44.51145725,-87.90896043,189.0,23.0,null,null,null,null,239.60000610351562,560336896,0.31,0.7200000286102295,Unplugged,3215818752,52,0,null,null,null,null,null,249810269,12430376960,1446752256,United States,Wisconsin,Green Bay,dpcmpx4dhc,4G,null
MOBILE,LTE,Sprint,2017-07-30 18:43:05 UTC,2017-07-30 18:43:31 UTC,8826,9,null,null,22435,-14400,343,null,null,null,HTC,2PZC5,ANDROID71,2560,1440,3907096576,185257226240,en,2017-07-30 18:43:06 UTC,null,null,263.0,null,-77,39.3409204,-76.6416209,null,30.0,null,0.216812,10.0,null,null,1824010240,0.22,0.8600000143051147,Charging,50349355008,928,870,-102,-8,null,null,29,153148145,134907871232,2083086336,United States,Maryland,Baltimore,dqcrzcz32z,4G,null
UNKNOWN,UNKNOWN,null,2017-05-06 20:52:56 UTC,2017-05-06 20:55:55 UTC,12966,7,null,null,4162,-14400,null,null,null,null,Hisense,VH777,ANDROID44,800,480,1073741824,5382508544,es,2017-05-06 20:55:55 UTC,null,null,null,null,null,40.64555658,-74.010457,6.0,50.0,null,null,null,0.6200000047683716,192.60000610351562,247980032,0.07,0.8500000238418579,Unplugged,591269888,0,0,null,null,null,null,null,25646746,4791238656,825761792,United States,New York,New York,dr5r5z71x2,UNKNOWN,null
MOBILE,LTE,Home,2017-06-23 04:27:46 UTC,2017-06-23 08:58:41 UTC,8820,23,null,311,230,-18000,null,null,null,null,samsung,SM-G900R7,ANDROID44,1920,1080,1946992640,44473634816,en,2017-06-23 06:44:53 UTC,null,null,null,null,-83,30.89361291,-88.5332984,77.0,34.0,null,null,null,0.6618912816047668,54.900001525878906,468496384,0.54,1.0,Full,16994713600,91599,124063,-112,-12,34,null,null,22652738,27478921216,1478496256,United States,Mississippi,null,dj3pc2h02d,4G,C Spire Wireless
MOBILE,EHRPD,Extended Network,2017-07-22 00:11:34 UTC,2017-07-22 00:13:21 UTC,16643,16,null,null,445,-14400,null,null,null,null,samsung,SM-G950U1,ANDROID70,2678,1440,3535687680,121057968128,en,2017-07-22 00:13:21 UTC,null,null,null,null,null,42.8465278,-71.4969647,null,37.0,null,null,null,null,null,717758464,0.26,0.8199999928474426,Unplugged,78502309888,654,0,null,null,null,null,null,552231539,42555658240,2817929216,United States,New Hampshire,Merrimack,drt5tpcrpg,3G,null
MOBILE,LTE,Verizon Wireless,2017-07-06 00:40:08 UTC,2017-07-06 00:40:16 UTC,4970,11,null,null,8,-14400,144,null,null,null,samsung,SCH-I545,ANDROID50,1920,1080,1895067648,10454171648,en,2017-07-06 00:40:08 UTC,null,null,null,null,-58,39.9142845,-74.9706969,null,110.0,null,null,null,null,null,302170112,0.58,0.6100000143051147,Charging,680304640,0,0,-82,-7,152,null,null,1420496392,9773867008,1592897536,United States,New Jersey,null,dr4en40j81,4G,null
UNKNOWN,UNKNOWN,null,2017-05-07 01:21:27 UTC,2017-05-07 01:21:30 UTC,57459,304,null,null,4148,-14400,null,null,null,null,samsung,SPH-L720T,ANDROID44,1920,1080,1905647616,10454859776,en,2017-05-07 01:21:30 UTC,null,null,null,null,null,38.09607581,-84.47828452,289.0,17.0,null,null,null,32.25,301.29998779296875,276516864,0.88,0.8600000143051147,Unplugged,502169600,134,0,null,null,null,null,null,904885,9952690176,1629130752,United States,Kentucky,null,dngbtxhv9r,UNKNOWN,null
MOBILE,LTE,Verizon Wireless,2017-06-10 02:30:53 UTC,2017-06-10 02:30:58 UTC,3457,1000,null,null,1267,-18000,42,null,null,null,motorola,XT1609,ANDROID60,1280,720,2007384064,11773280256,en,2017-06-10 02:30:58 UTC,null,null,null,null,null,47.7912372,-95.078629,null,20.0,null,null,null,null,null,558997504,0.38,0.2199999988079071,Charging,5480173568,4688,2260,null,null,null,null,null,232782256,6293106688,1448386560,United States,Minnesota,null,cbkrukju5k,4G,null
MOBILE,EVDOA,Verizon Wireless,2017-05-11 18:49:45 UTC,2017-05-11 18:49:53 UTC,4603,1,null,null,20,-18000,null,null,null,null,LGE,VS415PP,ANDROID44,480,320,435986432,2143936512,en,2017-05-11 18:49:53 UTC,null,null,null,null,null,41.53614772,-88.0875542,221.0,18.0,null,null,null,null,null,78770176,1.0,0.12999999523162842,Charging,628457472,0,0,null,null,null,null,null,21674395,1515479040,357216256,United States,Illinois,Joliet,dp3k792te5,3G,null
MOBILE,LTE,Boost Mobile,2017-07-17 00:38:39 UTC,2017-07-17 00:42:41 UTC,58260,401,null,null,22438,-14400,200,null,null,null,LGE,LGLS775,ANDROID70,1280,720,1987317760,10880266240,en,2017-07-17 00:38:40 UTC,null,null,106.0,null,-120,35.0797468,-81.4402688,null,3852.0,null,2.164134,0.0,null,null,504893440,0.1,0.7799999713897705,Unplugged,6359855104,812,1038,-140,-3,-184,null,57,173993702,4520411136,1482424320,United States,South Carolina,null,dnnpdf1424,4G,null
MOBILE,LTE,Boost Mobile,2017-07-19 05:59:17 UTC,2017-07-19 06:11:30 UTC,30097,250,null,null,4183,-25200,207,null,null,null,LGE,LGLS450,ANDROID60,854,480,954208256,11315740672,en,2017-07-19 06:11:30 UTC,null,null,null,null,null,39.0663831,-121.1361512,null,98.0,null,null,null,null,null,272584704,0.01,0.5299999713897705,Charging,4929597440,145499551,280277189,null,null,null,null,null,256182744,6386143232,681623552,United States,California,null,9qcy5rz65j,4G,null
MOBILE,LTE,Virgin Mobile,2017-06-29 12:24:07 UTC,2017-06-29 12:24:11 UTC,4891,311,null,null,22407,-18000,364,null,null,null,LGE,LGLS676,ANDROID60,1280,720,1476308992,10992578560,en,2017-06-29 12:24:11 UTC,null,null,null,null,null,33.130941,-94.1779676,null,149.60000610351562,null,null,null,null,null,243314688,0.77,0.8600000143051147,Unplugged,515497984,1999,14869,null,null,null,null,null,77952923,10477080576,1232994304,United States,Texas,null,9vvh2zm9wr,4G,null
MOBILE,LTE,Boost Mobile,2017-06-25 22:08:30 UTC,2017-06-25 22:09:33 UTC,54370,308,null,311,940,-18000,427,null,null,null,LGE,LGLS755,ANDROID60,1280,720,1949032448,10596974592,en,2017-06-25 22:09:33 UTC,null,null,null,null,null,38.9154762,-94.6396574,null,50.0,null,null,null,null,null,337006592,0.75,0.8899999856948853,Unplugged,1166950400,4270,32547,null,null,null,null,null,207937227,9430024192,1612025856,United States,Kansas,Leawood,9yutqkme04,4G,Sprint
MOBILE,LTE,,2017-06-17 20:26:07 UTC,2017-06-17 20:26:12 UTC,4405,3,null,null,20,-18000,20,null,null,null,samsung,SM-S903VL,ANDROID60,1920,1080,1788825600,43222290432,en,2017-06-17 20:26:12 UTC,null,null,null,null,null,41.8457703,-87.7050609,147.0,3.0,null,null,null,4.300000190734863,359.0,318943232,0.56,0.6000000238418579,Unplugged,18932346880,131,79,null,null,null,null,null,379843925,24289943552,1469882368,United States,Illinois,Chicago,dp3wh1z17b,4G,null
UNKNOWN,UNKNOWN,null,2017-06-05 00:43:34 UTC,2017-06-05 00:43:41 UTC,19857,225,null,null,4155,-18000,null,null,null,null,kyocera,C6725,ANDROID44,960,540,1427030016,5820022784,en,2017-06-05 00:43:41 UTC,null,null,null,null,null,44.9168618,-91.3964894,null,50.0,null,null,null,null,null,706449408,0.43,0.6600000262260437,Unplugged,747102208,3072,3072,null,null,null,null,null,1132616,5072920576,720580608,United States,Wisconsin,null,9zzp80z5em,UNKNOWN,null
MOBILE,UNKNOWN,cricket,2017-05-15 23:08:40 UTC,2017-05-16 00:51:22 UTC,null,null,null,310,150,-14400,null,null,null,null,Apple,iPhone 6,IOS103,568,320,1037041664,15989485568,en,2017-05-15 23:50:11 UTC,null,null,null,null,null,42.571455,-83.064724,191.996353,65.0,10.0,null,null,null,null,28446720,0.4580000000000002,0.8899999856948853,Unplugged,1283788800,247704,4743583,null,null,null,null,null,935909644,14705696768,1008594944,United States,Michigan,Sterling Heights,dpsfjvfhew,UNKNOWN,AT&T
MOBILE,LTE,Sprint,2017-06-15 03:33:29 UTC,2017-06-15 03:36:13 UTC,26137,309,null,null,4190,-18000,85,null,null,null,LGE,LG-LS997,ANDROID70,2560,1440,3965898752,55080103936,en,2017-06-15 03:34:40 UTC,null,null,null,null,-81,38.5419284,-90.3631118,null,110.0,null,null,null,null,null,752242688,0.51,0.8500000238418579,Unplugged,46008365056,2836,2358,-116,-18,-36,null,null,1706897315,9071738880,3213656064,United States,Missouri,null,9yzer8re4b,4G,null
MOBILE,LTE,Verizon Wireless,2017-07-14 18:10:33 UTC,2017-07-14 18:10:41 UTC,193,1000,null,null,1267,-18000,16,null,null,null,motorola,XT1609,ANDROID60,1280,720,2007384064,19713097728,en,2017-07-14 18:10:41 UTC,null,null,null,null,null,46.82891597,-95.87957153,423.0,10.0,null,null,null,null,105.0,1029738496,0.41,0.36000001430511475,Unplugged,13941444608,14275,57982,null,null,null,null,null,73517173,5771653120,977645568,United States,Minnesota,null,cb7f6hywhn,4G,null
MOBILE,LTE,U.S. Cellular,2017-05-07 11:25:34 UTC,2017-05-07 11:25:59 UTC,21603,30,null,311,220,-18000,null,null,null,null,samsung,SCH-R890,ANDROID44,960,540,1396256768,12945600512,en,2017-05-07 11:25:59 UTC,null,null,null,null,null,41.69012188,-91.57660229,186.0,103.0,null,null,null,0.75,311.5,422432768,0.53,1.0,Full,6775218176,0,0,null,null,null,null,null,10565994,6170382336,973824000,United States,Iowa,Coralville,9zqvhj7yw9,4G,U.S. Cellular
MOBILE,EVDOA,Boost Mobile,2017-06-06 07:09:06 UTC,2017-06-06 07:09:17 UTC,21473,210,null,null,22410,-14400,null,null,null,null,motorola,XT1031,ANDROID44,1280,720,925384704,5928501248,en,2017-06-06 07:09:06 UTC,null,null,null,null,-125,42.65514212,-85.52094791,138.0,16.0,null,null,null,null,null,181407744,0.0,0.3400000035762787,Unplugged,556511232,0,0,null,null,null,null,null,67094863,5371990016,743976960,United States,Michigan,null,dpe4tvjs1q,3G,null
MOBILE,LTE,Sprint,2017-06-10 16:56:38 UTC,2017-06-10 17:07:21 UTC,27667,230,null,null,4183,-25200,284,null,null,null,LGE,LG-LS777,ANDROID70,1280,720,1966206976,9736605696,en,2017-06-10 17:05:38 UTC,null,null,null,null,-80,38.6672188,-121.3766651,null,19.499000549316406,null,null,null,null,null,398041088,0.84,0.9900000095367432,Unplugged,3430035456,2253167,11143241,-106,-9,116,null,27,25358312,6306570240,1568165888,United States,California,null,9qceyp0hys,4G,null
MOBILE,LTE,CLARO P.R.,2017-06-10 23:34:32 UTC,2017-06-10 23:34:36 UTC,3390721,8,null,330,110,-14400,228,null,null,null,samsung,SM-G935F,ANDROID60,2560,1440,3735502848,26497818624,es,2017-06-10 23:34:36 UTC,null,null,null,null,null,18.4433023,-66.0267285,-49.82731183215161,8.0,null,null,null,null,null,662585344,0.33,0.6499999761581421,Unplugged,719519744,13764,243831,null,null,null,null,null,1486744893,25778298880,3072917504,United States,Puerto Rico,Carolina,de30ct8b18,4G,null
MOBILE,LTE,U.S. Cellular,2017-07-21 14:12:02 UTC,2017-07-21 14:12:08 UTC,29057,21,null,null,5,-18000,316,null,null,null,motorola,Moto G Play,ANDROID60,1280,720,2007384064,11901206528,en,2017-07-21 14:12:08 UTC,null,null,null,null,null,43.6010982,-89.787724,null,50.0,null,null,null,null,null,711065600,0.28,0.9700000286102295,Unplugged,5559300096,454,466,null,null,null,null,null,917608531,6341906432,1296318464,United States,Wisconsin,null,dpb0hc6df3,4G,null
MOBILE,LTE,Verizon Wireless,2017-07-27 21:00:35 UTC,2017-07-27 21:01:20 UTC,790,4,null,null,28,-14400,2,null,null,null,motorola,XT1030,ANDROID44,1280,720,1883459584,11846664192,en,2017-07-27 21:01:20 UTC,null,null,null,null,null,42.5422528,-71.7599609,null,64.0,null,null,null,null,null,459108352,0.64,0.6200000047683716,Unplugged,6441000960,38684,27396,null,null,null,null,null,34540287,5405663232,1424351232,United States,Massachusetts,Leominster,drsfp09fxd,4G,null
MOBILE,LTE,Verizon Wireless,2017-07-29 23:41:36 UTC,2017-07-29 23:42:47 UTC,3522,1000,null,null,1267,-18000,97,null,null,null,HTC,HTC6545LVW,ANDROID70,2560,1440,3949228032,25197654016,en,2017-07-29 23:41:36 UTC,null,null,58.0,null,-86,47.5549019,-95.2274031,null,72.0,null,0.54691,0.0,null,null,1400696832,0.61,0.5400000214576721,Unplugged,5762019328,3618,24072,-114,-11,60,null,null,44972654,19435634688,2548531200,United States,Minnesota,null,cbkq911e2s,4G,null
MOBILE,EHRPD,Sprint,2017-05-01 22:09:30 UTC,2017-05-01 22:09:34 UTC,28298,309,null,null,4190,-18000,null,null,null,null,kyocera,C6725,ANDROID44,960,540,1427030016,21743173632,en,2017-05-01 22:09:34 UTC,null,null,null,null,null,38.79108601,-90.57515835,145.0,18.0,null,null,null,1.5008330345153809,271.5,574038016,0.54,0.550000011920929,Charging,16398237696,0,0,null,null,null,null,null,29863141,5344935936,852992000,United States,Missouri,null,9yzsdvtnmy,3G,null
MOBILE,LTE,,2017-06-12 23:08:48 UTC,2017-06-12 23:09:14 UTC,15265,5,null,null,240,-18000,384,null,null,null,samsung,SM-S903VL,ANDROID60,1920,1080,1788825600,11319889920,en,2017-06-12 23:09:14 UTC,null,null,null,null,null,43.8191715,-88.4947312,null,128.89999389648438,null,null,null,null,null,294891520,0.67,0.20000000298023224,Unplugged,2030899200,0,0,null,null,null,null,null,458261691,9288990720,1493934080,United States,Wisconsin,null,dpc163015m,4G,null
MOBILE,EHRPD,ZTE,2017-05-05 01:30:22 UTC,2017-05-05 16:04:17 UTC,5015,5,null,null,4162,-14400,null,null,null,null,zte,N9130,ANDROID44,854,480,927350784,4420440064,en,2017-05-05 08:34:42 UTC,null,null,null,null,-108,44.6219433,-73.14192,null,2496.0,null,null,null,null,null,247422976,0.42,0.3199999928474426,Unplugged,2210676736,11531,25032,null,null,null,null,null,168689888,2209763328,679927808,United States,Vermont,null,drgvze5ttt,3G,null
MOBILE,LTE,Sprint,2017-05-31 20:52:53 UTC,2017-05-31 20:54:24 UTC,36498,312,null,null,22407,-18000,293,null,null,null,kyocera,E6715,ANDROID44,800,480,863260672,15432220672,es,2017-05-31 20:52:53 UTC,null,null,null,null,-60,31.08800739,-97.79338863,261.0,24.0,null,null,null,21.0,289.0,234631168,0.65,0.7799999713897705,Unplugged,2798608384,0,0,-95,-18,-74,null,null,67420011,12633612288,628629504,United States,Texas,Killeen,9vd2yemhbb,4G,null
MOBILE,ONEXRTT,U.S. Cellular,2017-05-15 15:40:08 UTC,2017-05-15 15:44:11 UTC,28931,21,null,311,220,-18000,null,null,null,null,samsung,SCH-R890,ANDROID44,960,540,1396256768,12945600512,en,2017-05-15 15:40:08 UTC,null,null,null,null,-69,43.0063762,-89.7284222,null,17.30699920654297,null,null,null,null,null,223469568,0.73,0.6899999976158142,Unplugged,1147170816,0,0,null,null,null,null,null,231731620,11798429696,1172787200,United States,Wisconsin,null,dp8hwjjf21,3G,U.S. Cellular
MOBILE,LTE,Sprint,2017-06-20 00:54:57 UTC,2017-06-20 00:54:59 UTC,27538,230,null,null,4183,-25200,284,null,null,null,LGE,LG-LS777,ANDROID70,1280,720,1966215168,9736605696,en,2017-06-20 00:54:59 UTC,null,null,null,null,null,38.6671473,-121.373639,null,1000.0,null,null,null,null,null,371580928,0.25,0.9200000166893005,Charging,2030047232,0,0,null,null,null,null,null,620278839,7706558464,1594634240,United States,California,null,9qceyp4kmn,4G,null
MOBILE,LTE,Verizon Wireless,2017-07-27 14:39:39 UTC,2017-07-27 14:39:53 UTC,3474,49,null,null,64,-25200,355,null,null,null,HTC,HTCD100LVW,ANDROID60,960,540,1462255616,4160421888,en,2017-07-27 14:39:39 UTC,null,null,null,null,-70,36.1132561,-115.1390172,null,21.0,null,null,null,null,null,487038976,0.76,0.46000000834465027,NotCharging,1197088768,0,0,-103,-16,-34,null,null,20491579,2963333120,975216640,United States,Nevada,Paradise,9qqj7ynqfq,4G,null
